id,bank,close_price,high_price,history,low_price,open_price,volume
237,"BIST Bankalar",10636.7,10975.9,"Mar 26, 2024",10579.6,10810.4,0
238,"BIST Bankalar",10572.3,10764.5,"Mar 27, 2024",10496.3,10682.1,0
239,"BIST Bankalar",11021.9,11124.3,"Mar 28, 2024",10634.6,10634.6,0
240,"BIST Bankalar",10979.8,11150.7,"Mar 29, 2024",10920.5,11025.2,0
241,"BIST Bankalar",9702.9,9765.8,"Feb 1, 2024",9570.2,9570.6,0
242,"BIST Bankalar",9591.4,9836.6,"Feb 2, 2024",9545.5,9711.4,0
245,"BIST Bankalar",9751.7,9879.2,"Feb 5, 2024",9669.5,9779.1,0
246,"BIST Bankalar",9865.9,9871.7,"Feb 6, 2024",9707.1,9782.1,0
247,"BIST Bankalar",9745.2,9942,"Feb 7, 2024",9710.3,9892.1,0
248,"BIST Bankalar",9756.9,9858.6,"Feb 8, 2024",9747.5,9753.8,0
249,"BIST Bankalar",9809.8,9903.4,"Feb 9, 2024",9645.7,9781.2,0
252,"BIST Bankalar",10113.4,10113.4,"Feb 12, 2024",9847.2,9904,0
253,"BIST Bankalar",10016,10293.7,"Feb 13, 2024",10016,10152.3,0
254,"BIST Bankalar",10150.9,10171,"Feb 14, 2024",9872.1,10009.9,0
255,"BIST Bankalar",10272.7,10386.4,"Feb 15, 2024",10151.9,10169.9,0
256,"BIST Bankalar",10228.2,10334.3,"Feb 16, 2024",10185,10297.1,0
260,"BIST Bankalar",10492,10546.8,"Feb 20, 2024",10187.5,10221.4,0
261,"BIST Bankalar",10540.1,10670.2,"Feb 21, 2024",10424.9,10518,0
262,"BIST Bankalar",10395.1,10690.2,"Feb 22, 2024",10289.8,10597.4,0
263,"BIST Bankalar",10464.2,10509.7,"Feb 23, 2024",10256.8,10361.3,0
266,"BIST Bankalar",10230.7,10480.9,"Feb 26, 2024",10164.8,10475.8,0
267,"BIST Bankalar",10128,10304.8,"Feb 27, 2024",10120.5,10245.9,0
268,"BIST Bankalar",9920.3,10175.4,"Feb 28, 2024",9912.3,10138,0
269,"BIST Bankalar",10054.1,10097.8,"Feb 29, 2024",9932.7,9938,0
271,"BIST Bankalar",8768,8894,"Jan 2, 2024",8682,8829.6,0
272,"BIST Bankalar",8489.3,8785.8,"Jan 3, 2024",8489.3,8750.5,0
273,"BIST Bankalar",8711.5,8727.5,"Jan 4, 2024",8392.6,8498,0
274,"BIST Bankalar",8789.9,8790.7,"Jan 5, 2024",8644.6,8720.6,0
277,"BIST Bankalar",9573.1,9589,"Jan 8, 2024",8930.8,8930.8,0
278,"BIST Bankalar",9580.2,9892.6,"Jan 9, 2024",9477.8,9685.4,0
279,"BIST Bankalar",9816.9,9862.2,"Jan 10, 2024",9525.1,9569.9,0
280,"BIST Bankalar",9851.4,9977.1,"Jan 11, 2024",9764.1,9871.8,0
281,"BIST Bankalar",10038.7,10275.2,"Jan 12, 2024",9577.9,9754.3,0
284,"BIST Bankalar",9890,10022.9,"Jan 15, 2024",9856.5,10007.2,0
285,"BIST Bankalar",9720.8,10021.6,"Jan 16, 2024",9655.3,9916.4,0
286,"BIST Bankalar",9761.6,9886.9,"Jan 17, 2024",9665,9677.6,0
287,"BIST Bankalar",9674,10007.8,"Jan 18, 2024",9674,9969.5,0
288,"BIST Bankalar",9648.1,9753.8,"Jan 19, 2024",9547.3,9723.9,0
291,"BIST Bankalar",9537.5,9616.6,"Jan 22, 2024",9431.9,9592.6,0
292,"BIST Bankalar",9122.4,9692.8,"Jan 23, 2024",9074.1,9656.9,0
293,"BIST Bankalar",9543.4,9656.2,"Jan 24, 2024",9127.2,9168,0
294,"BIST Bankalar",9504.8,9737.9,"Jan 25, 2024",9422.2,9590.5,0
295,"BIST Bankalar",9599.7,9651.3,"Jan 26, 2024",9451.4,9534.3,0
298,"BIST Bankalar",9491,9661.7,"Jan 29, 2024",9440.2,9646.6,0
299,"BIST Bankalar",9559.2,9653.1,"Jan 30, 2024",9479.8,9569.3,0
300,"BIST Bankalar",9564.5,9657.5,"Jan 31, 2024",9453.1,9565.9,0
301,"BIST Bankalar",8625.2,8741.1,"Dec 1, 2023",8538.3,8605.4,0
304,"BIST Bankalar",8862.3,8867,"Dec 4, 2023",8557.1,8639.8,0
305,"BIST Bankalar",8856.4,8916.4,"Dec 5, 2023",8800.9,8846.8,0
306,"BIST Bankalar",8896.4,9174,"Dec 6, 2023",8850.9,8853,0
307,"BIST Bankalar",8749.3,8884.8,"Dec 7, 2023",8511.9,8868,0
308,"BIST Bankalar",8623.6,8831.9,"Dec 8, 2023",8566.5,8780.8,0
311,"BIST Bankalar",8540.2,8702.3,"Dec 11, 2023",8500.8,8626.2,0
312,"BIST Bankalar",8883.8,8964.5,"Dec 12, 2023",8523.4,8536,0
313,"BIST Bankalar",8801.2,9144,"Dec 13, 2023",8800.4,8854,0
314,"BIST Bankalar",9273.8,9351.1,"Dec 14, 2023",8916,8973.1,0
315,"BIST Bankalar",9403.5,9606.8,"Dec 15, 2023",9276.3,9297,0
318,"BIST Bankalar",9406.2,9593.9,"Dec 18, 2023",9313.3,9359.2,0
319,"BIST Bankalar",9179.8,9451.2,"Dec 19, 2023",9019.9,9408.3,0
320,"BIST Bankalar",9326.8,9335.7,"Dec 20, 2023",9124,9180.2,0
321,"BIST Bankalar",9248.6,9517.5,"Dec 21, 2023",9195.6,9348.6,0
322,"BIST Bankalar",9158.6,9341.3,"Dec 22, 2023",9120.1,9283.2,0
326,"BIST Bankalar",8696.7,8872.6,"Dec 26, 2023",8531.7,8869.6,0
327,"BIST Bankalar",8467,8672.5,"Dec 27, 2023",8367.5,8661.5,0
328,"BIST Bankalar",8516.8,8634,"Dec 28, 2023",8483.6,8493.7,0
329,"BIST Bankalar",8717.2,8774.5,"Dec 29, 2023",8520.2,8524.7,0
330,"BIST Bankalar",7651.7,7768.6,"Nov 1, 2023",7350.5,7747.1,0
331,"BIST Bankalar",7752,7834.1,"Nov 2, 2023",7628.4,7682.1,0
332,"BIST Bankalar",7817.8,7831.4,"Nov 3, 2023",7679.5,7776.8,0
335,"BIST Bankalar",8063.9,8098.4,"Nov 6, 2023",7935.1,7935.1,0
336,"BIST Bankalar",7972.7,8089.4,"Nov 7, 2023",7912.2,8048.9,0
337,"BIST Bankalar",7790.4,8049.1,"Nov 8, 2023",7744.1,8030.9,0
338,"BIST Bankalar",7676.8,7813.3,"Nov 9, 2023",7657.8,7705.3,0
339,"BIST Bankalar",7610.1,7732.7,"Nov 10, 2023",7597.7,7676.2,0
342,"BIST Bankalar",7363,7581.1,"Nov 13, 2023",7363,7578.6,0
343,"BIST Bankalar",7456.5,7467.9,"Nov 14, 2023",7246.5,7380.6,0
344,"BIST Bankalar",7484.7,7577.9,"Nov 15, 2023",7417.7,7500.3,0
345,"BIST Bankalar",7703,7727.6,"Nov 16, 2023",7510.4,7510.4,0
346,"BIST Bankalar",7728.5,7770.9,"Nov 17, 2023",7661.9,7684.5,0
349,"BIST Bankalar",7809.1,7873.2,"Nov 20, 2023",7752.8,7799.8,0
350,"BIST Bankalar",7927.2,7931.2,"Nov 21, 2023",7777.2,7860.5,0
