id,bank,close_price,high_price,history,low_price,open_price,volume
247,"Garanti BBVA",86.2,87.85,"May 13, 2024",85.85,86.65,18024895
248,"Garanti BBVA",90,91.15,"May 14, 2024",87.75,88.1,26296830
249,"Garanti BBVA",87.85,90.45,"May 15, 2024",86.35,90.3,33720846
250,"Garanti BBVA",88.8,89.3,"May 16, 2024",88.05,88.25,37387709
251,"Garanti BBVA",94.15,94.15,"May 17, 2024",88.7,88.85,31398368
252,"Garanti BBVA",0,0,"May 18, 2024",0,0,0
253,"Garanti BBVA",0,0,"May 19, 2024",0,0,0
254,"Garanti BBVA",95.85,97.4,"May 20, 2024",94.15,94.25,22796917
255,"Garanti BBVA",101.3,105.4,"May 21, 2024",96.25,96.25,50085601
256,"Garanti BBVA",100.7,102,"May 22, 2024",99,101.2,26984626
257,"Garanti BBVA",100,102.5,"May 23, 2024",99.85,100.1,22484991
258,"Garanti BBVA",99.25,100.6,"May 24, 2024",98.6,100.4,13146706
259,"Garanti BBVA",0,0,"May 25, 2024",0,0,0
260,"Garanti BBVA",0,0,"May 26, 2024",0,0,0
261,"Garanti BBVA",98.6,100.5,"May 27, 2024",98.05,99.5,16870183
262,"Garanti BBVA",100.2,101.1,"May 28, 2024",98.2,98.95,29928686
263,"Garanti BBVA",99.7,102,"May 29, 2024",99,100.4,20437927
264,"Garanti BBVA",102.6,102.6,"May 30, 2024",99.9,100.2,20663252
265,"Garanti BBVA",107.8,110.4,"May 31, 2024",102.9,103,36751484
266,"Garanti BBVA",69.8,72.9,"Apr 1, 2024",67.55,69.5,27219775
267,"Garanti BBVA",70.1,71.9,"Apr 2, 2024",69.5,69.85,35198185
268,"Garanti BBVA",69.6,70.95,"Apr 3, 2024",68.9,70,20349141
269,"Garanti BBVA",72.35,73.4,"Apr 4, 2024",69.45,69.85,40655105
270,"Garanti BBVA",74.3,76.15,"Apr 5, 2024",72.5,74.65,32337253
271,"Garanti BBVA",0,0,"Apr 6, 2024",0,0,0
272,"Garanti BBVA",0,0,"Apr 7, 2024",0,0,0
273,"Garanti BBVA",74.15,76.45,"Apr 8, 2024",74,74.55,20752790
274,"Garanti BBVA",0,0,"Apr 9, 2024",0,0,0
275,"Garanti BBVA",0,0,"Apr 10, 2024",0,0,0
276,"Garanti BBVA",0,0,"Apr 11, 2024",0,0,0
277,"Garanti BBVA",0,0,"Apr 12, 2024",0,0,0
278,"Garanti BBVA",0,0,"Apr 13, 2024",0,0,0
279,"Garanti BBVA",0,0,"Apr 14, 2024",0,0,0
280,"Garanti BBVA",74.6,75.7,"Apr 15, 2024",73.65,74.1,23868610
281,"Garanti BBVA",70.6,75.4,"Apr 16, 2024",70.6,74.35,26419769
282,"Garanti BBVA",73.8,75,"Apr 17, 2024",70.85,70.85,33953332
283,"Garanti BBVA",74,74.85,"Apr 18, 2024",73.55,74.25,19527233
284,"Garanti BBVA",78.7,78.8,"Apr 19, 2024",73.25,73.55,30127936
285,"Garanti BBVA",0,0,"Apr 20, 2024",0,0,0
286,"Garanti BBVA",0,0,"Apr 21, 2024",0,0,0
287,"Garanti BBVA",76.45,80.75,"Apr 22, 2024",76.45,80.1,21434323
288,"Garanti BBVA",0,0,"Apr 23, 2024",0,0,0
289,"Garanti BBVA",79.7,80,"Apr 24, 2024",77.1,77.1,20996211
290,"Garanti BBVA",79.1,80.7,"Apr 25, 2024",77.55,79.95,16495362
291,"Garanti BBVA",80.85,82.1,"Apr 26, 2024",79.3,79.5,24103533
292,"Garanti BBVA",0,0,"Apr 27, 2024",0,0,0
293,"Garanti BBVA",0,0,"Apr 28, 2024",0,0,0
294,"Garanti BBVA",81.95,82.8,"Apr 29, 2024",80.25,81.5,19436873
295,"Garanti BBVA",82.45,84.65,"Apr 30, 2024",81.8,82.05,27651579
296,"Garanti BBVA",61.85,63.4,"Mar 1, 2024",61.75,63.1,20175496
297,"Garanti BBVA",0,0,"Mar 2, 2024",0,0,0
298,"Garanti BBVA",0,0,"Mar 3, 2024",0,0,0
299,"Garanti BBVA",60.25,62.8,"Mar 4, 2024",59.9,62.1,20743774
300,"Garanti BBVA",59.8,61.35,"Mar 5, 2024",59.5,60.35,26402602
301,"Garanti BBVA",59,60.35,"Mar 6, 2024",58.6,59.5,26497367
302,"Garanti BBVA",62.1,62.1,"Mar 7, 2024",59.25,59.3,26192056
303,"Garanti BBVA",63.5,63.85,"Mar 8, 2024",61.5,62.2,37657003
